ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_BALANCE,JOINT_ACCOUNT_HOLDER,BANKCARD,ONLINE_ACCESS,CARDNB,RTN
201330,1330,CHK,38726.1,YES,YES,NO ,,51000017
101331,1331,SAV,1444,NO ,YES,YES,36111111111111,81904808
101332,1332,SAV,9067,YES,NO ,NO ,6220264390045750,11900571
101333,1333,SAV,81449,YES,NO ,NO ,180030951856201,71000505
101334,1334,SAV,29390,NO ,YES,NO ,,103000017
101335,1335,SAV,39515.3,YES,YES,NO ,213130951856200,101100045
201335,1335,CHK,32330.7,YES,YES,NO ,30210111161229,26009593
101336,1336,SAV,10845,YES,NO ,NO ,5520111111111120,52001633
101337,1337,SAV,354,NO ,YES,YES,6011567891012130,64000020
101338,1338,SAV,2299,YES,NO ,NO ,5169 7990 9185 4334,71000505
101339,1339,SAV,1695,NO ,YES,YES,3528-3095-1856-2063,11200608
101340,1340,SAV,18646.1,YES,YES,NO ,4024 0071 2159 5481,54001204
201340,1340,CHK,15255.9,YES,YES,NO ,,125000574
101341,1341,SAV,4591,NO ,NO ,NO ,3400 000000 00009,51000017
101342,1342,SAV,20537,YES,YES,NO ,6520224090045450,71214579
101343,1343,SAV,40775,NO ,YES,NO ,340000000000009,71103619
101344,1344,LN ,2065,NO ,YES,YES,,71000505
101345,1345,CHK,13212.1,YES,YES,NO ,3528-3095-1856-2063,52001633
201345,1345,SAV,10809.9,YES,YES,NO ,38111111111119,71103619
101346,1346,CHK,59287,YES,NO ,NO ,3400 000000 00009,111000025
101347,1347,CHK,0,YES,YES,YES,4146664390045450,81000032
101348,1348,LN ,7274,NO ,YES,NO ,340000000000009,11200365
101349,1349,CHK,13275,NO ,YES,NO ,3530 1113 3330 0000,81904808
101350,1350,CHK,5696.35,NO ,YES,NO ,5462522444922680,122400724
201350,1350,SAV,4660.65,NO ,YES,NO ,,51000017
101351,1351,CHK,2104,YES,YES,NO ,5169799091854330,107000327
101352,1352,LN ,39688,NO ,NO ,NO ,3400 000000 00009,121000358
101353,1353,CHK,162914,YES,NO ,NO ,5285696282092970,21200339
101354,1354,CHK,-22953,NO ,YES,NO ,5520111111111120,31202084
101355,1355,SAV,6386.05,NO ,YES,NO ,180030951856201,71103619
201355,1355,CHK,5224.95,NO ,YES,NO ,38111111111119,53000196
101356,1356,SAV,358,YES,NO ,YES,6011567891012130,11900571
101357,1357,SAV,1788,YES,NO ,NO ,,123002011
101358,1358,SAV,158318,YES,NO ,NO ,30510011111111,71000505
101359,1359,SAV,2284,NO ,YES,YES,4146 6643 9004 5458,124101555
201275,1275,CHK,2143.8,YES,YES,NO ,5285696282092970,53000196
101276,1276,SAV,3219,YES,NO ,NO ,36111111111111,21200339
101277,1277,SAV,51213,YES,NO ,NO ,30411111111111,51000017
101278,1278,SAV,2154,NO ,YES,NO ,5169-7990-9185-4334,53904483
101279,1279,CHK,38700,YES,NO ,NO ,5169-7990-9185-4334,101100045
101280,1280,LN ,56702,YES,NO ,NO ,30011111111119,21000322
101281,1281,CHK,90933,NO ,YES,NO ,5169-7990-9185-4334,21000322
101282,1282,CHK,-2451,NO ,NO ,NO ,5580977968891500,53000196
101283,1283,CHK,4207,NO ,YES,NO ,30111111161229,101100045
101284,1284,LN ,10116,NO ,YES,NO ,5169 7990 9185 4334,51000017
101285,1285,CHK,454.3,NO ,YES,NO ,3530 1113 3330 0000,11400495
201285,1285,SAV,371.7,NO ,YES,NO ,30011111111119,123002011
101286,1286,CHK,5489,NO ,NO ,NO ,6220264390045750,71214579
101287,1287,CHK,27,NO ,YES,YES,3528-3095-1856-2063,53904483
101288,1288,LN ,6760,NO ,YES,NO ,,64000020
101289,1289,CHK,18432,YES,NO ,NO ,4024007121595480,63100277
101290,1290,CHK,2990.35,YES,YES,NO ,3400-000000-00009,123103716
201290,1290,SAV,2446.65,YES,YES,NO ,5169-7990-9185-4334,64000020
101291,1291,CHK,14427,NO ,YES,NO ,30111111161229,21000322
101292,1292,LN ,7473,YES,NO ,NO ,,51000017
101293,1293,CHK,45974,YES,NO ,NO ,4146-6643-9004-5458,21200339
101294,1294,CHK,835,YES,YES,NO ,38111111111119,81000032
101295,1295,CHK,45161.6,NO ,NO ,NO ,213130951856200,11900571
201295,1295,SAV,36950.4,NO ,NO ,NO ,,113000023
101296,1296,SAV,2752,NO ,YES,NO ,,125000574
101381,1381,SAV,10609,NO ,YES,YES,4024-0071-2159-5481,123002011
101382,1382,SAV,96163,NO ,YES,YES,4146-6643-9004-5458,323070380
101383,1383,SAV,1048,NO ,YES,YES,3530 1113 3330 0000,51000017
101384,1384,SAV,11237,YES,NO ,NO ,,53904483
101385,1385,SAV,69813.7,YES,NO ,NO ,4146 6643 9004 5458,73000176
201385,1385,CHK,57120.3,YES,NO ,NO ,4024007121595480,307070267
101386,1386,SAV,21289,NO ,NO ,NO ,213130951856200,82000073
101387,1387,SAV,2639,NO ,YES,YES,3528309518562060,122400724
101388,1388,LN ,37532,NO ,YES,NO ,5169 7990 9185 4334,81904808
101389,1389,CHK,351,NO ,YES,YES,30411111111111,63000047
101390,1390,CHK,15832.3,YES,NO ,NO ,3530 1113 3330 0000,125000024
